text,category
Is it possible for me to change my PIN number?,change_pin
I'm not sure why my card didn't work,declined_card_payment
I don't think my top up worked,top_up_failed
Can you explain why my payment was charged a fee?,card_payment_fee_charged
"How long does a transfer from a UK account take? I just made one and it doesn't seem to be working, wondering if everything is okay",balance_not_updated_after_bank_transfer
Why am I getting declines when trying to make a purchase online?,declined_transfer
What is the $1 transaction on my account?,extra_charge_on_statement
It looks like my card payment was sent back.,reverted_card_payment?
Why am I unable to transfer money when I was able to before?,beneficiary_not_allowed
What if there is an error on the exchange rate?,card_payment_wrong_exchange_rate
After I transferred money the balance remained the same.,balance_not_updated_after_bank_transfer
How much does top up fees cost?,top_up_by_card_charge
limits on top ups,top_up_limits
My card payment was not successful.,declined_card_payment
I live in the EU - can I get a card?,country_support
Why did my top-up not work?,top_up_failed
"I have a strange transaction for £1 on my statement, what is that?",extra_charge_on_statement
Why is my money not in my account. I have already sent it out.,balance_not_updated_after_cheque_or_cash_deposit
Let me know what the steps for the identity checks are,verify_my_identity
I need my card as quick as possible,card_delivery_estimate
In what increments can I top-up my card?,automatic_top_up
When do i activate auto top-up?,automatic_top_up
Do you charge for sending out more cards?,getting_spare_card
Why am I being asked to verify my identity?,why_verify_identity
What currencies can I use?,supported_cards_and_currencies
I withdrew cash and I think the exchange rate is wrong.,wrong_exchange_rate_for_cash_withdrawal
"My top up hasn't gone through yet, why?",pending_top_up
"Hello, I have a question concerning an unfamiliar fee that I notice on my account. I see that you guys charge for ATM withdrawal. Never notice this fee until now. Can you please explain?",cash_withdrawal_charge
The exchange rate was wrong in the foreign country I got cash in.,wrong_exchange_rate_for_cash_withdrawal
I am still waiting for a transfer to show,pending_transfer
How is the exchange rate calculated?,exchange_rate
"There was an extra fee when I paid with my card, why was i charged this extra fee?",card_payment_fee_charged
My credit card seems to have been declined for top up. Why is it not going through? Can you tell me what's going on?,top_up_failed
"My transfers keep on getting declined. My card was working fine up until now, however it has suddenly stopped working. Why is this?",declined_transfer
How long does it take for my physical card to be delivered.,card_delivery_estimate
I need to know why a money transfer is available.,pending_transfer
I must make several disposable cards every day.,disposable_card_limits
What do I do to link my new card?,card_linking
Why is their a charge pending on my card still?,pending_card_payment
Why is there extra cash in my account?,cash_withdrawal_not_recognised
Can I get a refund on an item?,request_refund
Can I get an update on my replacement card?,card_arrival
How do I know what my PIN is?,get_physical_card
In which countries can I get a card?,country_support
Can I choose from either Visa or Mastercard?,visa_or_mastercard
My card still hasn't been delivered,card_arrival
I didn't make the direct debit payment on my account.,direct_debit_payment_not_recognised
after i got married i need to change my name,edit_personal_details
How can I tell the source for my available funds?,verify_source_of_funds
I didn't get all the cash I asked for,wrong_amount_of_cash_received
where did my funds come from?,verify_source_of_funds
I checked my account and see that funds were deducted from a seller I didn't approve of. Can you help me understand?,direct_debit_payment_not_recognised
"Apparently, I went out today to use my new card and was informed my payment was decline. This is really embarrassing, what happen?",declined_card_payment
My card is not working at stores.,declined_card_payment
Do you accept all cards and currencies?,supported_cards_and_currencies
"Looks like my card payment was duplicated after all. I went to pay at the store earlier, got declined once, second time it works. App still stays pending for one of the payments. Can you please remove one of them as it's wrong and clearly was declined?",transaction_charged_twice
It's requiring me to verify my identity?,why_verify_identity
I noticed a different charge while I was taking my money out.,cash_withdrawal_charge
Where can I find my PIN? I haven't gotten it yet.,get_physical_card
